From,Destination,Airline,Price,Time,Stops
BOM,YXU,EiratesAirCanada,6861$,26 hr 36 min,2stops4rlayoverOvernigtlayover
BOM,YXU,SWISSAirCanada,7938$,31 hr 26 min,2stops
BOM,YXU,SWISSAirCanada,7938$,31 hr 26 min,3stops
BOM,YXU,SWISSAirCanada,7938$,31 hr 26 min,3stops
BOM,YXU,Eirates,1656$,26h 36m,2stops
BOM,YXU,Eirates,1315$,26h 36m,2stops
BOM,YXU,Luftansa,1113$,29h 56m,3stops
BOM,YXU,Luftansa,1113$,29h 56m,3stops
BOM,YXU,Luftansa,1113$,29h 56m,3stops
BOM,YXU,Eirates,1315$,29h 26m,2stops
BOM,YXU,SWISSAirCanada,1353$,31h 26m,2stops
BOM,YXU,Luftansa,1170$,29h 56m,3stops
BOM,YXU,AirCanada,1551$,28h 26m,2stops
BOM,YXU,Luftansa,1170$,29h 56m,3stops
BOM,YXU,Eirates,1315$,33h 06m,2stops
BOM,YXU,Luftansa,1210$,35h 21m,3stops
BOM,YXU,AirCanada,1527$,31h 26m,2stops
BOM,YXU,Eirates,1315$,38h 11m,2stops
BOM,YXU,AirCanada,2180$,28h 26m,2stops
BOM,YXU,Luftansa,2197$,29h 56m,2stops
